MSOA11CD,loneliness,ITEMS
E02004599,3.719394442369734,184796.0
E02002392,3.7147254965785956,167941.0
E02000170,3.714528673122352,104762.0
E02005449,3.7130401562797073,237584.0
E02004493,3.711939140433421,184517.0
E02000214,3.705398324160927,55867.0
E02000480,3.6996675438214446,88357.0
E02004306,3.6936290431890484,153458.0
E02005628,3.6878871371584863,169001.0
E02004922,3.6836162176670717,50379.0
E02003016,3.681478788598756,310271.0
E02000762,3.6737571151765627,138712.0
E02000406,3.6734510271744196,168665.0
E02000525,3.6717205956602417,152784.0
E02004597,3.6702342295440338,510857.0
E02000970,3.6692654151528674,136200.0
E02003664,3.6666055310718626,228455.0
E02001033,3.662768765996023,73761.0
E02002665,3.661341488933829,34424.0
E02000558,3.6477835273438894,72396.0
E02000971,3.6453197064465352,41318.0
E02003343,3.644840420031286,60151.0
E02000378,3.644018618353793,164692.0
E02003775,3.6340936256545584,244213.0
E02005670,3.6318837664639627,692968.0
E02000072,3.6284934593778866,102723.0
E02002862,3.6233782526145957,191145.0
E02000605,3.6173563197490424,259226.0
E02000646,3.6139015760058295,473703.0
E02006675,3.612691151466156,150575.0
E02004877,3.593445442201636,223091.0
E02000538,3.588701602482353,211811.0
E02000877,3.587240796129612,188074.0
E02000353,3.584498727263915,30159.0
E02005674,3.5806028080184475,214764.0
E02000623,3.580421192881632,224821.0
E02004487,3.5787786158337376,92447.0
E02006791,3.5773920852171086,133764.0
E02000864,3.572669233552495,380434.0
E02006210,3.5653337058236474,76260.0
E02000244,3.5591423825537527,51744.0
E02004549,3.553225485476235,465070.0
E02002520,3.5495490028936323,232466.0
E02000854,3.549162833417922,60506.0
E02004908,3.54018208902335,99683.0
E02000243,3.531712021852506,126272.0
E02004655,3.5298541732465916,301269.0
E02002656,3.524483356693689,109926.0
E02006932,3.5209504628842407,438009.0
E02005323,3.519231523324661,423899.0
E02000597,3.5062042026521505,162780.0
E02002081,3.492037258651312,59540.0
E02005975,3.4873624537000474,213544.0
E02000873,3.4821226937631136,320397.0
E02003147,3.480380860220739,193978.0
E02000818,3.4727422027968315,130813.0
E02002752,3.4719394739350715,162523.0
E02001296,3.467300520597812,52570.0
E02000356,3.466030909197174,151660.0
E02000851,3.4649795702646866,428284.0
E02004536,3.464382537510068,62534.0
E02004616,3.456154793786917,431404.0
E02004567,3.450177734814117,40348.0
E02000479,3.4500340248342876,59431.0
E02005444,3.443219492680131,115379.0
E02004006,3.4418076593243034,135107.0
E02004156,3.441666543374676,157031.0
E02001389,3.437894096505207,137877.0
E02005662,3.4239899144289487,291232.0
E02004485,3.4229829165566934,377131.0
E02000849,3.420502707914372,62763.0
E02003292,3.419966984934266,83844.0
E02004347,3.415007969297553,279862.0
E02002613,3.3956622191363133,109158.0
E02005470,3.3934718342999868,569582.0
